11/5/2011,蒋旭峰,美国前贸易代表巴尔舍夫斯基表示入世见证中国接轨国际语言和跨越式发展。,jiangxufeng20111105,,,美国 入世 接轨  高层对话
12/11/2011,新华网,筱原尚之表示中国进一步融入全球经济将为世界带来更多好处,xinhuawang20111211,,,IMF 筱原尚之 入世  高层对话
10/14/2011,王攀,WTO副总干事表示，中国外贸增长对全球经济复苏至关重要。,wangpan20111014,,,WTO 入世 中国外贸 经济复苏 高层对话
12/11/2011,张硕,胡锦涛表示，入世十年中国全面履行加入世界贸易组织承诺,zhangshuo20111211,zhangshuo20111211,zhangshuo20111211,胡锦涛 入世 中国 六个一 高层对话
11/2/2011,姬新龙,韩国贸易协会副会长表示，中国经济结构还可进一步调整。,jixinlong20111102,,,韩国 吴永镐 入世 十年 高层对话
10/14/2011,中国网络电视台,温家宝表示入世十年 中国说话算数兑现入世时承诺,wangluodianshitai20111014,,,温家宝 入世十年 高层对话
11/10/2011,危丽琼,WTO总干事拉米称中国入世十年成绩是A+,weiliqiong20111110,,,拉米 WTO 中国入世  高层对话
12/11/2011,中新社,素帕猜表示中国入世经验对发展中国家是极大启发,zhongxinshe20111211,,,素帕猜 中国入世 发展中国家 高层对话
12/11/2011,中新网,世界银行副行长:2030年中国将成为世界最大经济体,zhongxinwang20111211,,,世行 2030  中国入世 卡努托 高层对话
4/16/2011,张羽飞,商务部长陈德铭表示中国入世十年得大于失,zhangxufei20110416,,,陈德铭 入世十年 博鳌亚洲论坛 高层对话
12/7/2011,徐恒杰,农业部副部长表示入世十年中国农业快速发展,xuhengjie20111207,,,农业 牛盾 入世 高层对话
12/9/2011,金力,欧盟贸易委员德古特表示中国入世对世界贸易有重要意义,jinli20111209,,,德古特 欧盟 中国入世 高层对话
1/27/2011,张棉棉,中国入世十周年已改变美欧主导规则制定局面,zhangmianmian20110127,,,孙振宇 达沃斯论坛年会 中国入世 十周年 高层对话
12/12/2011,易小准,易小准表示，只有分享才能共赢，中国入世是多边贸易体制的胜利,yixiaozhun20111212,,,易小准 入世 多边贸易 世贸 高层对话
3/1/2011,江国成,华建敏表示中国将努力维护互利共赢的多边贸易体制,jiangguocheng20110301,,,华建敏 入世 多边贸易 高层对话
12/16/2011,中新网,王岐山强调以加入世贸10周年为新起点扩大对外开放,zhongxinwang20111216,,,王岐山 世贸 十周年 对外开放 高层对话
12/9/2011,中国网,龙永图表示中国入世取得双赢 倒逼国内改革与开放,zhongguowang20111208,,,龙永图 入世 世贸组织 高层对话
9/2/2011,中国经贸,“入世十周年——中国与世界”专家座谈会肯定入世成绩,zhongguojingmao20110902,,,入世10年 中国经贸 专题活动
12/11/2011,杨凤鸣,《中国世界贸易组织年鉴（2011）》出版纪念中国入世十周年,yangfengming20111211,yangfengming20111211,yangfengming20111211,《中国世界贸易组织年鉴（2011）》 入世十周年 专题活动
9/2/2011,EC网,中国与WTO的未来——纪念中国加入世界贸易组织十周年学术会议在北京召开,ecwang20110920,ecwang20110920,ecwang20110920,WTO 入世十周年 专题活动
12/18/2011,朱磊,庆祝中国加入WTO十周年经贸法制建设专场纪念研讨会举行,zhulei20111218,,,入世十周年 法制建设 WTO规则 专题活动
11/30/2011,刘仁,中国加入TRIPS协定十周年研讨会举行,liuren20111130,,,TRIPS协定 WTO 知识产权 专题活动
12/11/2011,辛灵,《中国的对外贸易》白皮书表示，入世十年中国承诺已全部履行完毕,xinling20111211,,,《中国的对外贸易》 入世十周年 专题活动
12/15/2011,刘素云,中国驻世贸组织代表团举行招待会庆祝中国入世十周年,liusuyun20111215,,,世贸代表团 入世十周年 世界经济低迷 专题活动
11/15/2011,汪闽燕,中国入世十周年国际研讨会：入世十年改变中国也改变世界,wangminyan20111115,,,入世10年 WTO争端 专题活动
12/13/2011,西北政法大学 ,陕西省法学界隆重纪念中国入世十周年,xibeizhengfa20111213,,,西北政法 WTO法规 WTO争端 专题活动
12/8/2011,新华网,新华社、商务部评出中国入世十周年十大新闻,xinhuawang20111208,,,新华社 商务部 入世十大新闻 关税 世贸规则 专题活动
11/18/2011,工信部,入世十周年我国电子信息产业快速发展，规,gongxinbu20111118,,,电子信息产业  入世十周年  专题活动
12/11/2011,人民网,中国加入世界贸易组织10周年高层论坛在京举行,renminwang20111211,,,世贸组织 高层论坛 十周年 胡锦涛 专题活动
12/9/2011,中新社,跨国公司与中国入世十周年论坛讨论中外跨国公司发展等问题,zhongxinshe20111209,zhongxinshe20111209,zhongxinshe20111209,跨国公司 入世十周年 专题活动
12/9/2011,轻工业网,轻工行业纪念我国加入世贸组织十周年大会回顾轻工业发展历程,qinggongyewang20111209,qinggongyewang20111209,qinggongyewang20111209,轻工业 入世十年 产业转型 专题活动
11/30/2011,郭军辉,“中国入世十周年纪念暨金融业开放回顾与展望”论坛举行,guojunhui20111130,guojunhui20111130,guojunhui20111130,入世十周年 金融业  专题活动
12/11/2011,穆巍,天津质检部门举办纪念入世十周年专题报告会,muwei20111211,,,天津 质检 入世十周年 TBT SPS 部门动态
12/25/2011,中广网,大连举办中国入世十周年庆祝会，肯定入世成就,zhongguangwang20111225,,,大连 入世十周年 中国信保 部门动态
11/23/2011,李兵,入世十年贵州进出口贸易增长5倍,libing20111123,,,贵州 入世十年 进出口贸易 外贸结构 部门动态
12/9/2011,四川商务厅,四川省商务厅入世十周年座谈会，四川经济发展又快又好,sichuanshangwuting20111209,,,四川 商务厅 入世十年 经济总量 结构优化 部门动态
12/9/2011,李利,入世十年浙江经济实力显著增强,lili20111209,lili20111209,lili20111209,浙江 入世十年 GDP  部门动态
12/11/2011,昆明日报 ,云南纪念中国入世10周年,yunnanribao20111211,,,桥头堡建设 云南 入世十年 部门动态
4/8/2011,中国政府网,湖南省商务厅举办入世十周年报告会，总结入世经验,zhongguozhengfuwang20110408,,,湖南商务厅 入世十年 世贸组织 部门动态
11/2/2011,南方网,广州入世十年进出口平衡增长,nanfangwang20111102,,,广州 入世十年 进出口 知名企业 部门动态
11/16/2011,天津日报,"天津举行中国“入世”十周年纪念研讨会
",tianjinribao20111116,,,天津 入世十周年 WTO咨询服务中心 部门动态
12/1/2011,大楚网,湖北入世十年经济合作快速增长,dachuwang20111201,,,湖北 入世十周年  龙永图 国际经济 部门动态
12/11/2011,中国网,中国邮政发行入世十周年纪念邮资信封,zhongguowang20111211,,,中国邮政 入世十年 纪念邮资封 部门动态
6/9/2011,农业部网站,农业部召开入世十周年与中国农业发展研讨会,nongyebuwangzhan20110609,,,农业部 入世十年 农产品贸易 部门动态
12/7/2011,中国广播网,国新办<中国对外贸易>白皮书称我国外贸体制日渐完善,zhongguoguangbowang20111207,,,国新办 入世十年 外贸 部门动态
11/21/2011,王希,商务部发布中国入世十周年纪念标识,wangxi20111121,wangxi20111121,wangxi20111121,入世十周年 商务部 纪念标识 部门动态
12/14/2011,孙天仁,"中国代表团在世贸总部举办中国入世十周年招待会
",suntianren20111214,suntianren20111214,suntianren20111214,入世十周年 商务部  拉米 多边贸易体制 世界经济  部门动态